Country,City,Prefix,Included channels,Setup price,Monthly price
United Kingdom,Warrington,44-1925,2,5.00,5.00
United Kingdom,Knebworth,44-1438,0,1.20,1.20
United Kingdom,Knebworth,44-1438,2,5.00,5.00
United Kingdom,Redhill,44-1737,0,1.20,1.20
United Kingdom,Redhill,44-1737,2,5.00,5.00
United Kingdom,Slough,44-1753,0,1.20,1.20
United Kingdom,Slough,44-1753,2,5.00,5.00
United Kingdom,Hemel Hampstede,44-1442,0,1.20,1.20
United Kingdom,Hemel Hampstede,44-1442,2,5.00,5.00
China,Shared Cost,86-400,300,22.00,22.00
Hong Kong,Toll-free,852-800,300,100.00,100.00
Indonesia,Toll-free,62-803,300,150.00,35.00
Ecuador,Toll-free,593-1800,300,170.00,90.00
Uruguay,Toll-free,598-4,300,110.00,110.00
United States,Royal Oak,1-248,0,1.20,1.20
United States,Royal Oak,1-248,2,5.00,5.00
United States,Aberdeen,1-360,0,1.20,1.20
United States,Aberdeen,1-360,2,5.00,5.00
United States,Renton,1-425,0,1.20,1.20
United States,Renton,1-425,2,5.00,5.00
Germany,Boblingen,49-7031,0,1.50,1.50
Germany,Boblingen,49-7031,2,5.00,5.00
Germany,Osnabruck,49-541,0,1.50,1.50
Germany,Osnabruck,49-541,2,5.00,5.00
Ireland,Castlebar,353-94,0,1.50,1.50
Ireland,Castlebar,353-94,2,5.00,5.00
Canada,Brantford,1-226,0,1.20,1.20
Canada,Brantford,1-226,2,5.00,5.00
United Kingdom,Burton-upon-Trent,44-1283,0,1.20,1.20
United Kingdom,Burton-upon-Trent,44-1283,2,5.00,5.00
United Kingdom,Derby,44-1332,0,1.20,1.20
United Kingdom,Derby,44-1332,2,5.00,5.00
Colombia,Toll-free,57-800,300,30.00,10.00
Canada,Ottawa-Hull,1-343,0,1.20,1.20
Canada,Ottawa-Hull,1-343,2,5.00,5.00
Netherlands,Sittard,31-46,0,1.50,1.50
Netherlands,Sittard,31-46,2,5.00,5.00
Netherlands,Zaandam,31-75,0,1.50,1.50
Netherlands,Zaandam,31-75,2,5.00,5.00
Netherlands,Naaldwijk,31-174,0,1.50,1.50
Netherlands,Naaldwijk,31-174,2,5.00,5.00
Germany,Unna,49-2303,0,1.50,1.50
Germany,Unna,49-2303,2,5.00,5.00
Finland,National,358-75,0,3.50,3.50
Finland,National,358-75,2,5.00,5.00
Finland,Oulu,358-8,0,3.50,3.50
Finland,Oulu,358-8,2,5.00,5.00
Finland,Vaasa,358-6,0,3.50,3.50
Finland,Vaasa,358-6,2,5.00,5.00
Finland,Jyvaskyla,358-1,0,3.50,3.50
Finland,Jyvaskyla,358-1,2,5.00,5.00
Finland,Kuopio,358-1,0,3.50,3.50
Finland,Kuopio,358-1,2,5.00,5.00
United States,Braintree,1-781,0,1.20,1.20
United States,Braintree,1-781,2,5.00,5.00
United States,Adrian,1-816,0,1.20,1.20
United States,Adrian,1-816,2,5.00,5.00
United States,Advance,1-573,0,1.20,1.20
United States,Advance,1-573,2,5.00,5.00
United States,Agency,1-816,0,1.20,1.20
United States,Agency,1-816,2,5.00,5.00
United States,Antonia,1-636,0,1.20,1.20
United States,Antonia,1-636,2,5.00,5.00
United Kingdom,Dingwall,44-1349,0,1.20,1.20
United Kingdom,Dingwall,44-1349,2,5.00,5.00
Canada,New Glasgow,1-902,0,1.20,1.20
Canada,New Glasgow,1-902,2,5.00,5.00
South Africa,Middelburg,27-13,0,3.50,3.50
South Africa,Middelburg,27-13,2,5.00,5.00
United Kingdom,Sunderland,44-1917,0,1.20,1.20
United Kingdom,Sunderland,44-1917,2,5.00,5.00
United States,Middletown,1-302,0,1.20,1.20
United States,Middletown,1-302,2,5.00,5.00
United States,Grand Canyon,1-928,0,1.20,1.20
United States,Grand Canyon,1-928,2,5.00,5.00
United States,Prescott,1-928,0,1.20,1.20
United States,Prescott,1-928,2,5.00,5.00
United States,Aspen,1-970,0,1.20,1.20
United States,Aspen,1-970,2,5.00,5.00
United States,Bridgeport,1-475,0,1.20,1.20
United States,Bridgeport,1-475,2,5.00,5.00
United States,Bristol,1-860,0,1.20,1.20
United States,Bristol,1-860,2,5.00,5.00
United States,New Britain,1-860,0,1.20,1.20
United States,New Britain,1-860,2,5.00,5.00
United States,Norwalk,1-203,0,1.20,1.20
United States,Norwalk,1-203,2,5.00,5.00
United States,Waterbury,1-475,0,1.20,1.20
United States,Waterbury,1-475,2,5.00,5.00
United States,Flagstaff,1-928,0,1.20,1.20
United States,Flagstaff,1-928,2,5.00,5.00
United States,Olathe,1-913,0,1.20,1.20
United States,Olathe,1-913,2,5.00,5.00
United States,Gary,1-219,0,1.20,1.20
United States,Gary,1-219,2,5.00,5.00
United States,Bend,1-541,0,1.20,1.20
United States,Bend,1-541,2,5.00,5.00
United States,Salem,1-971,0,1.20,1.20
United States,Salem,1-971,2,5.00,5.00
United States,Kent,1-253,0,1.20,1.20
United States,Kent,1-253,2,5.00,5.00
United States,Olympia,1-360,0,1.20,1.20
United States,Olympia,1-360,2,5.00,5.00
United States,Santa Monica,1-310,0,1.20,1.20
United States,Santa Monica,1-310,2,5.00,5.00
South Africa,Polokwane,27-15,0,3.50,3.50
South Africa,Polokwane,27-15,2,5.00,5.00
South Africa,George,27-44,0,3.50,3.50
South Africa,George,27-44,2,5.00,5.00
Germany,Oberhausen,49-208,0,1.50,1.50
Germany,Oberhausen,49-208,2,5.00,5.00
Canada,Fort McMurray,1-587,0,1.20,1.20
Canada,Fort McMurray,1-587,2,5.00,5.00
Canada,Sussex,1-506,0,1.20,1.20
Canada,Sussex,1-506,2,5.00,5.00
Canada,Woodstock,1-226,0,1.20,1.20
Canada,Woodstock,1-226,2,5.00,5.00
Canada,Sydney,1-902,0,1.20,1.20
Canada,Sydney,1-902,2,5.00,5.00
Canada,Yarmouth,1-902,0,1.20,1.20
Canada,Yarmouth,1-902,2,5.00,5.00
United States,Waco,1-254,0,1.20,1.20
United States,Waco,1-254,2,5.00,5.00
United States,Amarillo,1-806,0,1.20,1.20
United States,Amarillo,1-806,2,5.00,5.00
United States,Lubbock,1-806,0,1.20,1.20
United States,Lubbock,1-806,2,5.00,5.00
United States,Wichita Falls,1-940,0,1.20,1.20
United States,Wichita Falls,1-940,2,5.00,5.00
Canada,Clarkson,1-289,0,1.20,1.20
Canada,Clarkson,1-289,2,5.00,5.00
Belgium,Mechelen,32-15,0,2.50,2.50
Belgium,Mechelen,32-15,2,5.00,5.00
Germany,Schleswig,49-4621,0,1.50,1.50
Germany,Schleswig,49-4621,2,5.00,5.00
United States,Colonie,1-518,0,1.20,1.20
United States,Colonie,1-518,2,5.00,5.00
Germany,Schwaben,49-8121,0,1.50,1.50
Germany,Schwaben,49-8121,2,5.00,5.00
Ireland,Naas,353-45,0,1.50,1.50
Ireland,Naas,353-45,2,5.00,5.00
Netherlands,Purmerend,31-299,0,1.50,1.50
Netherlands,Purmerend,31-299,2,5.00,5.00
Germany,Freiburg im Breisgau,49-761,0,1.50,1.50
Germany,Freiburg im Breisgau,49-761,2,5.00,5.00
Germany,Breisgau,49-9721,0,1.50,1.50
Germany,Breisgau,49-9721,2,5.00,5.00
Italy,Lanzo Torinese,39-0123,0,2.50,2.50
Italy,Lanzo Torinese,39-0123,2,5.00,5.00
Romania,Pitesti,40-348,0,2.50,2.50
Romania,Pitesti,40-348,2,5.00,5.00
Germany,Filderstadt,49-711,0,1.50,1.50
Germany,Filderstadt,49-711,2,5.00,5.00
United States,Aiken,1-803,0,1.20,1.20
United States,Aiken,1-803,2,5.00,5.00
United States,Lancaster,1-717,0,1.20,1.20
United States,Lancaster,1-717,2,5.00,5.00
United States,Harrisburg,1-717,0,1.20,1.20
United States,Harrisburg,1-717,2,5.00,5.00
Ireland,Portlaoise,353-57,0,1.50,1.50
Ireland,Portlaoise,353-57,2,5.00,5.00
United States,Ellicott City,1-443,0,1.20,1.20
United States,Ellicott City,1-443,2,5.00,5.00
United States,Columbia,1-443,0,1.20,1.20
United States,Columbia,1-443,2,5.00,5.00
United States,Reading,1-484,0,1.20,1.20
United States,Reading,1-484,2,5.00,5.00
United States,Bethlehem,1-484,0,1.20,1.20
United States,Bethlehem,1-484,2,5.00,5.00
United States,Quincy,1-617,0,1.20,1.20
United States,Quincy,1-617,2,5.00,5.00
United States,Athens,1-706,0,1.20,1.20
United States,Athens,1-706,2,5.00,5.00
United States,Toms River,1-732,0,1.20,1.20
United States,Toms River,1-732,2,5.00,5.00
United States,Sugar Land,1-832,0,1.20,1.20
United States,Sugar Land,1-832,2,5.00,5.00
United States,Carmel,1-845,0,1.20,1.20
United States,Carmel,1-845,2,5.00,5.00
United States,Middletown,1-848,0,1.20,1.20
United States,Middletown,1-848,2,5.00,5.00
United States,Vineland,1-856,0,1.20,1.20
United States,Vineland,1-856,2,5.00,5.00
United States,Lakeland,1-863,0,1.20,1.20
United States,Lakeland,1-863,2,5.00,5.00
United States,Sarasota,1-941,0,1.20,1.20
United States,Sarasota,1-941,2,5.00,5.00
United States,Ilion,1-315,0,1.20,1.20
United States,Ilion,1-315,2,5.00,5.00
United States,Lebanon,1-615,0,1.20,1.20
United States,Lebanon,1-615,2,5.00,5.00
United States,Elgin,1-224,0,1.20,1.20
United States,Elgin,1-224,2,5.00,5.00
United States,Waukegan,1-224,0,1.20,1.20
United States,Waukegan,1-224,2,5.00,5.00
United States,Canton,1-234,0,1.20,1.20
United States,Canton,1-234,2,5.00,5.00
United States,Naperville,1-331,0,1.20,1.20
United States,Naperville,1-331,2,5.00,5.00
United States,Sandusky,1-419,0,1.20,1.20
United States,Sandusky,1-419,2,5.00,5.00
United States,Fairfield,1-475,0,1.20,1.20
United States,Fairfield,1-475,2,5.00,5.00
United States,Findlay,1-567,0,1.20,1.20
United States,Findlay,1-567,2,5.00,5.00
United States,Toledo,1-567,0,1.20,1.20
United States,Toledo,1-567,2,5.00,5.00
United States,Allens Park Lyons,1-720,0,1.20,1.20
United States,Allens Park Lyons,1-720,2,5.00,5.00
United States,Muncie,1-765,0,1.20,1.20
United States,Muncie,1-765,2,5.00,5.00
United States,Loveland,1-970,0,1.20,1.20
United States,Loveland,1-970,2,5.00,5.00
United States,Saginaw,1-989,0,1.20,1.20
United States,Saginaw,1-989,2,5.00,5.00
United States,Greenwich,1-203,0,1.20,1.20
United States,Greenwich,1-203,2,5.00,5.00
United States,De Soto,1-469,0,1.20,1.20
United States,De Soto,1-469,2,5.00,5.00
United States,Springfield,1-217,0,1.20,1.20
United States,Springfield,1-217,2,5.00,5.00
United States,Frankfort,1-502,0,1.20,1.20
United States,Frankfort,1-502,2,5.00,5.00
United States,Annapolis,1-443,0,1.20,1.20
United States,Annapolis,1-443,2,5.00,5.00
United States,Carson City,1-775,0,1.20,1.20
United States,Carson City,1-775,2,5.00,5.00
United States,Pierre,1-605,0,1.20,1.20
United States,Pierre,1-605,2,5.00,5.00
United States,Montpelier,1-802,0,1.20,1.20
United States,Montpelier,1-802,2,5.00,5.00
Ireland,Kilkenny,353-56,0,1.50,1.50
Ireland,Kilkenny,353-56,2,5.00,5.00
Ireland,Mallow,353-22,0,1.50,1.50
Ireland,Mallow,353-22,2,5.00,5.00
Ireland,Bandon,353-23,0,1.50,1.50
Ireland,Bandon,353-23,2,5.00,5.00
Ireland,Youghal,353-24,0,1.50,1.50
Ireland,Youghal,353-24,2,5.00,5.00
Ireland,Fermoy,353-25,0,1.50,1.50
Ireland,Fermoy,353-25,2,5.00,5.00
Ireland,Macroom,353-26,0,1.50,1.50
Ireland,Macroom,353-26,2,5.00,5.00
Ireland,Bantry,353-27,0,1.50,1.50
Ireland,Bantry,353-27,2,5.00,5.00
Ireland,Kanturk,353-29,0,1.50,1.50
Ireland,Kanturk,353-29,2,5.00,5.00
Ireland,Arklow,353-402,0,1.50,1.50
Ireland,Arklow,353-402,2,5.00,5.00
Ireland,Wicklow,353-404,0,1.50,1.50
Ireland,Wicklow,353-404,2,5.00,5.00
Ireland,Drogheda,353-41,0,1.50,1.50
Ireland,Drogheda,353-41,2,5.00,5.00
Ireland,Longford,353-43,0,1.50,1.50
Ireland,Longford,353-43,2,5.00,5.00
Ireland,Granard,353-43,0,1.50,1.50
Ireland,Granard,353-43,2,5.00,5.00
Ireland,Mullingar,353-44,0,1.50,1.50
Ireland,Mullingar,353-44,2,5.00,5.00
Ireland,Curragh,353-45,0,1.50,1.50
Ireland,Curragh,353-45,2,5.00,5.00
Ireland,Navan,353-46,0,1.50,1.50
Ireland,Navan,353-46,2,5.00,5.00
Ireland,Monaghan,353-47,0,1.50,1.50
Ireland,Monaghan,353-47,2,5.00,5.00
Ireland,Clones,353-47,0,1.50,1.50
Ireland,Clones,353-47,2,5.00,5.00
Ireland,Belturbet,353-49,0,1.50,1.50
Ireland,Belturbet,353-49,2,5.00,5.00
Ireland,Cavan,353-49,0,1.50,1.50
Ireland,Cavan,353-49,2,5.00,5.00
Ireland,Cootehill,353-49,0,1.50,1.50
Ireland,Cootehill,353-49,2,5.00,5.00
Ireland,Oldcastle,353-49,0,1.50,1.50
Ireland,Oldcastle,353-49,2,5.00,5.00
Ireland,Thurles,353-504,0,1.50,1.50
Ireland,Thurles,353-504,2,5.00,5.00
Ireland,Roscrea,353-505,0,1.50,1.50
Ireland,Roscrea,353-505,2,5.00,5.00
Ireland,Clonmel,353-52,0,1.50,1.50
Ireland,Clonmel,353-52,2,5.00,5.00
Ireland,Wexford,353-53,0,1.50,1.50
Ireland,Wexford,353-53,2,5.00,5.00
Ireland,Ferns,353-53,0,1.50,1.50
Ireland,Ferns,353-53,2,5.00,5.00
Ireland,Dungarvan,353-58,0,1.50,1.50
Ireland,Dungarvan,353-58,2,5.00,5.00
Ireland,Carlow,353-59,0,1.50,1.50
Ireland,Carlow,353-59,2,5.00,5.00
Ireland,Tipperary,353-62,0,1.50,1.50
Ireland,Tipperary,353-62,2,5.00,5.00
Ireland,Cashel,353-62,0,1.50,1.50
Ireland,Cashel,353-62,2,5.00,5.00
Ireland,Rathluirc,353-63,0,1.50,1.50
Ireland,Rathluirc,353-63,2,5.00,5.00
Ireland,Killarney,353-64,0,1.50,1.50
Ireland,Killarney,353-64,2,5.00,5.00
Ireland,Ennis,353-65,0,1.50,1.50
Ireland,Ennis,353-65,2,5.00,5.00
Ireland,Dingle,353-66,0,1.50,1.50
Ireland,Dingle,353-66,2,5.00,5.00
Ireland,Nenagh,353-67,0,1.50,1.50
Ireland,Nenagh,353-67,2,5.00,5.00
Ireland,Listowel,353-68,0,1.50,1.50
Ireland,Listowel,353-68,2,5.00,5.00
Ireland,Newcastle West,353-69,0,1.50,1.50
Ireland,Newcastle West,353-69,2,5.00,5.00
Ireland,Sligo,353-71,0,1.50,1.50
Ireland,Sligo,353-71,2,5.00,5.00
Ireland,Dungloe,353-74,0,1.50,1.50
Ireland,Dungloe,353-74,2,5.00,5.00
Ireland,Buncrana,353-74,0,1.50,1.50
Ireland,Buncrana,353-74,2,5.00,5.00
Ireland,Athlone,353-90,0,1.50,1.50
Ireland,Athlone,353-90,2,5.00,5.00
Ireland,Tuam,353-93,0,1.50,1.50
Ireland,Tuam,353-93,2,5.00,5.00
Ireland,Ballinrobe,353-94,0,1.50,1.50
Ireland,Ballinrobe,353-94,2,5.00,5.00
Ireland,Clifden,353-95,0,1.50,1.50
Ireland,Clifden,353-95,2,5.00,5.00
Ireland,Ballina,353-96,0,1.50,1.50
Ireland,Ballina,353-96,2,5.00,5.00
Ireland,Belmullet,353-97,0,1.50,1.50
Ireland,Belmullet,353-97,2,5.00,5.00
Ireland,Westport,353-98,0,1.50,1.50
Ireland,Westport,353-98,2,5.00,5.00
Ireland,Kilronan,353-99,0,1.50,1.50
Ireland,Kilronan,353-99,2,5.00,5.00
United Kingdom,Sudbury,44-1787,0,1.20,1.20
United Kingdom,Sudbury,44-1787,2,5.00,5.00
Germany,Flensburg,49-461,0,1.50,1.50
Germany,Flensburg,49-461,2,5.00,5.00
United States,Blackwood,1-856,0,1.20,1.20
United States,Blackwood,1-856,2,5.00,5.00
Canada,Bay Roberts,1-709,0,1.20,1.20
Canada,Bay Roberts,1-709,2,5.00,5.00
United States,Sanford,1-321,0,1.20,1.20
United States,Sanford,1-321,2,5.00,5.00
United States,Titusville,1-321,0,1.20,1.20
United States,Titusville,1-321,2,5.00,5.00
United States,Burlington,1-336,0,1.20,1.20
United States,Burlington,1-336,2,5.00,5.00
United States,Anderson,1-336,0,1.20,1.20
United States,Anderson,1-336,2,5.00,5.00
United States,Winston-Salem,1-336,0,1.20,1.20
United States,Winston-Salem,1-336,2,5.00,5.00
United States,DeBary,1-386,0,1.20,1.20
United States,DeBary,1-386,2,5.00,5.00
United States,North Augusta,1-803,0,1.20,1.20
United States,North Augusta,1-803,2,5.00,5.00
United States,Winter Haven,1-863,0,1.20,1.20
United States,Winter Haven,1-863,2,5.00,5.00
United States,New Castle,1-302,0,1.20,1.20
United States,New Castle,1-302,2,5.00,5.00
United States,Mitchell,1-605,0,1.20,1.20
United States,Mitchell,1-605,2,5.00,5.00
United States,Central,1-864,0,1.20,1.20
United States,Central,1-864,2,5.00,5.00
Canada,Ayr,1-226,0,1.20,1.20
Canada,Ayr,1-226,2,5.00,5.00
Canada,Baden,1-226,0,1.20,1.20
Canada,Baden,1-226,2,5.00,5.00
Canada,Breslau,1-226,0,1.20,1.20
Canada,Breslau,1-226,2,5.00,5.00
Canada,Drayton,1-226,0,1.20,1.20
Canada,Drayton,1-226,2,5.00,5.00
Canada,Elmira,1-226,0,1.20,1.20
Canada,Elmira,1-226,2,5.00,5.00
Canada,Exeter,1-226,0,1.20,1.20
Canada,Exeter,1-226,2,5.00,5.00
Canada,Acton,1-226,0,1.20,1.20
Canada,Acton,1-226,2,5.00,5.00
Canada,Linwood,1-226,0,1.20,1.20
Canada,Linwood,1-226,2,5.00,5.00
Canada,Listowel,1-226,0,1.20,1.20
Canada,Listowel,1-226,2,5.00,5.00
Canada,New Hamburg,1-226,0,1.20,1.20
Canada,New Hamburg,1-226,2,5.00,5.00
Canada,Ohsweken,1-226,0,1.20,1.20
Canada,Ohsweken,1-226,2,5.00,5.00
Canada,Paris,1-226,0,1.20,1.20
Canada,Paris,1-226,2,5.00,5.00
Canada,Plattsville,1-226,0,1.20,1.20
Canada,Plattsville,1-226,2,5.00,5.00
Canada,Preston,1-226,0,1.20,1.20
Canada,Preston,1-226,2,5.00,5.00
Canada,Rockwood,1-226,0,1.20,1.20
Canada,Rockwood,1-226,2,5.00,5.00
Canada,St Clements,1-226,0,1.20,1.20
Canada,St Clements,1-226,2,5.00,5.00
Canada,Wellesley,1-226,0,1.20,1.20
Canada,Wellesley,1-226,2,5.00,5.00
Canada,Brooklin,1-289,0,1.20,1.20
Canada,Brooklin,1-289,2,5.00,5.00
Canada,Caledon East,1-289,0,1.20,1.20
Canada,Caledon East,1-289,2,5.00,5.00
Canada,Campbellville,1-289,0,1.20,1.20
Canada,Campbellville,1-289,2,5.00,5.00
Canada,Freelton,1-289,0,1.20,1.20
Canada,Freelton,1-289,2,5.00,5.00
Canada,Mount Hope,1-289,0,1.20,1.20
Canada,Mount Hope,1-289,2,5.00,5.00
Canada,Newcastle,1-289,0,1.20,1.20
Canada,Newcastle,1-289,2,5.00,5.00
Canada,Port Perry,1-289,0,1.20,1.20
Canada,Port Perry,1-289,2,5.00,5.00
Canada,Tottenham,1-289,0,1.20,1.20
Canada,Tottenham,1-289,2,5.00,5.00
Canada,Uxbridge,1-289,0,1.20,1.20
Canada,Uxbridge,1-289,2,5.00,5.00
Canada,Waterdown,1-289,0,1.20,1.20
Canada,Waterdown,1-289,2,5.00,5.00
United States,Tracy,1-209,0,1.20,1.20
United States,Tracy,1-209,2,5.00,5.00
United States,Emmett,1-208,0,1.20,1.20
United States,Emmett,1-208,2,5.00,5.00
United States,Detroit Lakes,1-218,0,1.20,1.20
United States,Detroit Lakes,1-218,2,5.00,5.00
United States,Auburn,1-253,0,1.20,1.20
United States,Auburn,1-253,2,5.00,5.00
United States,Washington,1-240,0,1.20,1.20
United States,Washington,1-240,2,5.00,5.00
United States,Atlanta,1-430,0,1.20,1.20
United States,Atlanta,1-430,2,5.00,5.00
Canada,Vankleek Hill,1-343,0,1.20,1.20
Canada,Vankleek Hill,1-343,2,5.00,5.00
United States,Salt Lake City,1-385,0,1.20,1.20
United States,Salt Lake City,1-385,2,5.00,5.00
United States,St Cloud,1-320,0,1.20,1.20
United States,St Cloud,1-320,2,5.00,5.00
United States,Yakima,1-509,0,1.20,1.20
United States,Yakima,1-509,2,5.00,5.00
Canada,St Lambert,1-579,0,1.20,1.20
Canada,St Lambert,1-579,2,5.00,5.00
Canada,Jonquiere,1-581,0,1.20,1.20
Canada,Jonquiere,1-581,2,5.00,5.00
Canada,La Baie,1-581,0,1.20,1.20
Canada,La Baie,1-581,2,5.00,5.00
Canada,Lake Louise,1-587,0,1.20,1.20
Canada,Lake Louise,1-587,2,5.00,5.00
Canada,Athens,1-613,0,1.20,1.20
Canada,Athens,1-613,2,5.00,5.00
Canada,Cardinal,1-613,0,1.20,1.20
Canada,Cardinal,1-613,2,5.00,5.00
Canada,Delta,1-613,0,1.20,1.20
Canada,Delta,1-613,2,5.00,5.00
Canada,Gananoque,1-613,0,1.20,1.20
Canada,Gananoque,1-613,2,5.00,5.00
Canada,Maitland,1-613,0,1.20,1.20
Canada,Maitland,1-613,2,5.00,5.00
Canada,Mallorytown,1-613,0,1.20,1.20
Canada,Mallorytown,1-613,2,5.00,5.00
Canada,Picton,1-613,0,1.20,1.20
Canada,Picton,1-613,2,5.00,5.00
United States,Easton,1-484,0,1.20,1.20
United States,Easton,1-484,2,5.00,5.00
Canada,Prescott,1-613,0,1.20,1.20
Canada,Prescott,1-613,2,5.00,5.00
Canada,Spencerville,1-613,0,1.20,1.20
Canada,Spencerville,1-613,2,5.00,5.00
Canada,Azilda,1-705,0,1.20,1.20
Canada,Azilda,1-705,2,5.00,5.00
Canada,Blezard Valley,1-705,0,1.20,1.20
Canada,Blezard Valley,1-705,2,5.00,5.00
Canada,Campbellford,1-705,0,1.20,1.20
Canada,Campbellford,1-705,2,5.00,5.00
Canada,Capreol,1-705,0,1.20,1.20
Canada,Capreol,1-705,2,5.00,5.00
Canada,Chelmsford,1-705,0,1.20,1.20
Canada,Chelmsford,1-705,2,5.00,5.00
Canada,Coniston,1-705,0,1.20,1.20
Canada,Coniston,1-705,2,5.00,5.00
Canada,Espanola,1-705,0,1.20,1.20
Canada,Espanola,1-705,2,5.00,5.00
Canada,Garson,1-705,0,1.20,1.20
Canada,Garson,1-705,2,5.00,5.00
Canada,Gravenhurst,1-705,0,1.20,1.20
Canada,Gravenhurst,1-705,2,5.00,5.00
Canada,Hanmer,1-705,0,1.20,1.20
Canada,Hanmer,1-705,2,5.00,5.00
United States,Pittsfield,1-413,0,1.20,1.20
United States,Pittsfield,1-413,2,5.00,5.00
Canada,Levack,1-705,0,1.20,1.20
Canada,Levack,1-705,2,5.00,5.00
Canada,Lindsay,1-705,0,1.20,1.20
Canada,Lindsay,1-705,2,5.00,5.00
Canada,Lively,1-705,0,1.20,1.20
Canada,Lively,1-705,2,5.00,5.00
Canada,Penetanguishene,1-705,0,1.20,1.20
Canada,Penetanguishene,1-705,2,5.00,5.00
Canada,Wasaga Beach,1-705,0,1.20,1.20
Canada,Wasaga Beach,1-705,2,5.00,5.00
Canada,Lac Megantic,1-873,0,1.20,1.20
Canada,Lac Megantic,1-873,2,5.00,5.00
Canada,St Felix de Kingsey,1-873,0,1.20,1.20
Canada,St Felix de Kingsey,1-873,2,5.00,5.00
United States,Kent,1-330,0,1.20,1.20
United States,Kent,1-330,2,5.00,5.00
United States,Marysville,1-530,0,1.20,1.20
United States,Marysville,1-530,2,5.00,5.00
United States,Hartland,1-810,0,1.20,1.20
United States,Hartland,1-810,2,5.00,5.00
United States,Burlington,1-781,0,1.20,1.20
United States,Burlington,1-781,2,5.00,5.00
United States,Martinsville,1-765,0,1.20,1.20
United States,Martinsville,1-765,2,5.00,5.00
United States,Lancaster,1-740,0,1.20,1.20
United States,Lancaster,1-740,2,5.00,5.00
United States,Jamestown,1-701,0,1.20,1.20
United States,Jamestown,1-701,2,5.00,5.00
United States,North Branch,1-651,0,1.20,1.20
United States,North Branch,1-651,2,5.00,5.00
United States,Chicago,1-872,0,1.20,1.20
United States,Chicago,1-872,2,5.00,5.00
United States,Maynard,1-978,0,1.20,1.20
United States,Maynard,1-978,2,5.00,5.00
United States,Lincoln,1-916,0,1.20,1.20
United States,Lincoln,1-916,2,5.00,5.00
United States,La Jolla,1-858,0,1.20,1.20
United States,La Jolla,1-858,2,5.00,5.00
United States,Lake Charles,1-337,0,1.20,1.20
United States,Lake Charles,1-337,2,5.00,5.00
United States,Mehlville,1-314,0,1.20,1.20
United States,Mehlville,1-314,2,5.00,5.00
United States,Gresham,1-503,0,1.20,1.20
United States,Gresham,1-503,2,5.00,5.00
United States,Bothell,1-425,0,1.20,1.20
United States,Bothell,1-425,2,5.00,5.00
United States,Cedar Falls,1-319,0,1.20,1.20
United States,Cedar Falls,1-319,2,5.00,5.00
United States,Elizabethtown,1-270,0,1.20,1.20
United States,Elizabethtown,1-270,2,5.00,5.00
United States,Jackson,1-251,0,1.20,1.20
United States,Jackson,1-251,2,5.00,5.00
Germany,Albstadt,49-7432,0,1.50,1.50
Germany,Albstadt,49-7432,2,5.00,5.00
United States,Columbia,1-931,0,1.20,1.20
United States,Columbia,1-931,2,5.00,5.00
United States,Kalamazoo,1-269,0,1.20,1.20
United States,Kalamazoo,1-269,2,5.00,5.00
United States,Tullahoma,1-931,0,1.20,1.20
United States,Tullahoma,1-931,2,5.00,5.00
United States,Longview,1-430,0,1.20,1.20
United States,Longview,1-430,2,5.00,5.00
United States,Midland,1-432,0,1.20,1.20
United States,Midland,1-432,2,5.00,5.00
United States,Houston,1-346,0,1.20,1.20
United States,Houston,1-346,2,5.00,5.00
United States,Abilene,1-325,0,1.20,1.20
United States,Abilene,1-325,2,5.00,5.00
United States,Jersey City,1-551,0,1.20,1.20
United States,Jersey City,1-551,2,5.00,5.00
United Kingdom,Brentwood,44-1277,0,1.20,1.20
United Kingdom,Brentwood,44-1277,2,5.00,5.00
Lithuania,National,370-700,0,2.50,2.50
Lithuania,National,370-700,2,5.00,5.00
Netherlands,Enkhuizen,31-228,0,1.50,1.50
Netherlands,Enkhuizen,31-228,2,5.00,5.00
Netherlands,Barneveld,31-342,0,1.50,1.50
Netherlands,Barneveld,31-342,2,5.00,5.00
Netherlands,Hoogeveen,31-528,0,1.50,1.50
Netherlands,Hoogeveen,31-528,2,5.00,5.00
Netherlands,Hoorn,31-229,0,1.50,1.50
Netherlands,Hoorn,31-229,2,5.00,5.00
Netherlands,Bergen op Zoom,31-164,0,1.50,1.50
Netherlands,Bergen op Zoom,31-164,2,5.00,5.00
Netherlands,Leeuwarden,31-58,0,1.50,1.50
Netherlands,Leeuwarden,31-58,2,5.00,5.00
Netherlands,Delft,31-15,0,1.50,1.50
Netherlands,Delft,31-15,2,5.00,5.00
Netherlands,Den Helder,31-223,0,1.50,1.50
Netherlands,Den Helder,31-223,2,5.00,5.00
Netherlands,Oss,31-412,0,1.50,1.50
Netherlands,Oss,31-412,2,5.00,5.00
Netherlands,Deventer,31-570,0,1.50,1.50
Netherlands,Deventer,31-570,2,5.00,5.00
Netherlands,Roosendaal,31-165,0,1.50,1.50
Netherlands,Roosendaal,31-165,2,5.00,5.00
Netherlands,Doetinchem,31-314,0,1.50,1.50
Netherlands,Doetinchem,31-314,2,5.00,5.00
Netherlands,Drachten,31-512,0,1.50,1.50
Netherlands,Drachten,31-512,2,5.00,5.00
Netherlands,Ede,31-318,0,1.50,1.50
Netherlands,Ede,31-318,2,5.00,5.00
